hola,
buenos días,
buenas tardes,
gracias,
adiós,
por favor,
sí,
no,
bien,
está bien,
pan,
leche,
huevos,
queso,
carne,
pollo,
arroz,
fideos,
tomate,
cebolla,
papa,
manzana,
banana,
azúcar,
sal,
aceite,
harina,
agua,
yogur,
jamón,
pescado,
verdura,
fruta,
café,
té,
limón,
ajo,
gramo,
gramos,
kilo,
kilos,
litro,
litros,
uno,
dos,
tres,
cuatro,
cinco,
seis,
siete,
ocho,
nueve,
diez,
veinte,
treinta,
cuarenta,
cincuenta,
cien,
medio,
cuarto,
poco,
mucho,
peso,
pesos,
cambio,
efectivo,
tarjeta,
precio,
cuánto,
comprar,
quiero,
necesito,
dar,
tener,
hay,
está,
tenés,
